
PASS: 995598; IN: 0, 0; expOUT: 0; netOUT: 0.000783153

PASS: 995599; IN: 0, 0; expOUT: 0; netOUT: 0.000783142

PASS: 995600; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995601; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995602; IN: 1, 1; expOUT: 0; netOUT: 0.000731686

PASS: 995603; IN: 0, 0; expOUT: 0; netOUT: 0.00078314

PASS: 995604; IN: 0, 0; expOUT: 0; netOUT: 0.000783129

PASS: 995605; IN: 0, 0; expOUT: 0; netOUT: 0.000783117

PASS: 995606; IN: 1, 1; expOUT: 0; netOUT: 0.00073165

PASS: 995607; IN: 0, 0; expOUT: 0; netOUT: 0.000783102

PASS: 995608; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995609; IN: 0, 0; expOUT: 0; netOUT: 0.000783097

PASS: 995610; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995611; IN: 1, 1; expOUT: 0; netOUT: 0.000731645

PASS: 995612; IN: 1, 1; expOUT: 0; netOUT: 0.000731621

PASS: 995613; IN: 0, 0; expOUT: 0; netOUT: 0.000783085

PASS: 995614; IN: 0, 0; expOUT: 0; netOUT: 0.000783074

PASS: 995615; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995616; IN: 0, 0; expOUT: 0; netOUT: 0.000783069

PASS: 995617; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995618; IN: 0, 0; expOUT: 0; netOUT: 0.000783065

PASS: 995619; IN: 1, 1; expOUT: 0; netOUT: 0.000731607

PASS: 995620; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995621; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995622; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995623; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995624; IN: 0, 0; expOUT: 0; netOUT: 0.000783077

PASS: 995625; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995626; IN: 1, 1; expOUT: 0; netOUT: 0.000731644

PASS: 995627; IN: 1, 1; expOUT: 0; netOUT: 0.000731621

PASS: 995628; IN: 1, 1; expOUT: 0; netOUT: 0.000731597

PASS: 995629; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995630; IN: 1, 1; expOUT: 0; netOUT: 0.000731587

PASS: 995631; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995632; IN: 0, 0; expOUT: 0; netOUT: 0.00078307

PASS: 995633; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995634; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995635; IN: 0, 0; expOUT: 0; netOUT: 0.000783072

PASS: 995636; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995637; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995638; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995639; IN: 1, 1; expOUT: 0; netOUT: 0.000731633

PASS: 995640; IN: 0, 0; expOUT: 0; netOUT: 0.000783078

PASS: 995641; IN: 0, 0; expOUT: 0; netOUT: 0.000783066

PASS: 995642; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995643; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995644; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995645; IN: 0, 0; expOUT: 0; netOUT: 0.000783075

PASS: 995646; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995647; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995648; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995649; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995650; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995651; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995652; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995653; IN: 0, 0; expOUT: 0; netOUT: 0.000783112

PASS: 995654; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995655; IN: 1, 1; expOUT: 0; netOUT: 0.000731735

PASS: 995656; IN: 1, 1; expOUT: 0; netOUT: 0.000731712

PASS: 995657; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995658; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995659; IN: 1, 1; expOUT: 0; netOUT: 0.000731714

PASS: 995660; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995661; IN: 0, 0; expOUT: 0; netOUT: 0.000783116

PASS: 995662; IN: 1, 1; expOUT: 0; netOUT: 0.0007317

PASS: 995663; IN: 1, 1; expOUT: 0; netOUT: 0.000731676

PASS: 995664; IN: 0, 0; expOUT: 0; netOUT: 0.000783097

PASS: 995665; IN: 1, 1; expOUT: 0; netOUT: 0.000731649

PASS: 995666; IN: 1, 1; expOUT: 0; netOUT: 0.000731625

PASS: 995667; IN: 0, 0; expOUT: 0; netOUT: 0.000783077

PASS: 995668; IN: 1, 1; expOUT: 0; netOUT: 0.000731598

PASS: 995669; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995670; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995671; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995672; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995673; IN: 0, 0; expOUT: 0; netOUT: 0.000783089

PASS: 995674; IN: 0, 0; expOUT: 0; netOUT: 0.000783078

PASS: 995675; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995676; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995677; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995678; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995679; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995680; IN: 1, 1; expOUT: 0; netOUT: 0.000731683

PASS: 995681; IN: 1, 1; expOUT: 0; netOUT: 0.000731659

PASS: 995682; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995683; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995684; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995685; IN: 0, 0; expOUT: 0; netOUT: 0.000783113

PASS: 995686; IN: 1, 1; expOUT: 0; netOUT: 0.00073167

PASS: 995687; IN: 0, 0; expOUT: 0; netOUT: 0.000783098

PASS: 995688; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995689; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995690; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995691; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995692; IN: 0, 0; expOUT: 0; netOUT: 0.000783114

PASS: 995693; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995694; IN: 1, 1; expOUT: 0; netOUT: 0.000731703

PASS: 995695; IN: 0, 0; expOUT: 0; netOUT: 0.000783105

PASS: 995696; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995697; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995698; IN: 1, 1; expOUT: 0; netOUT: 0.000731702

PASS: 995699; IN: 1, 1; expOUT: 0; netOUT: 0.000731678

PASS: 995700; IN: 0, 0; expOUT: 0; netOUT: 0.0007831

PASS: 995701; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995702; IN: 0, 0; expOUT: 0; netOUT: 0.000783095

PASS: 995703; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995704; IN: 0, 0; expOUT: 0; netOUT: 0.00078309

PASS: 995705; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995706; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995707; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995708; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995709; IN: 0, 0; expOUT: 0; netOUT: 0.000783106

PASS: 995710; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995711; IN: 0, 0; expOUT: 0; netOUT: 0.000783102

PASS: 995712; IN: 0, 0; expOUT: 0; netOUT: 0.00078309

PASS: 995713; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995714; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995715; IN: 1, 1; expOUT: 0; netOUT: 0.000731746

PASS: 995716; IN: 0, 0; expOUT: 0; netOUT: 0.000783089

PASS: 995717; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995718; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995719; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995720; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995721; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995722; IN: 1, 1; expOUT: 0; netOUT: 0.000731783

PASS: 995723; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995724; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995725; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995726; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995727; IN: 1, 1; expOUT: 0; netOUT: 0.000731811

PASS: 995728; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995729; IN: 0, 0; expOUT: 0; netOUT: 0.000783137

PASS: 995730; IN: 0, 0; expOUT: 0; netOUT: 0.000783126

PASS: 995731; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995732; IN: 1, 1; expOUT: 0; netOUT: 0.000731805

PASS: 995733; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995734; IN: 0, 0; expOUT: 0; netOUT: 0.000783124

PASS: 995735; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995736; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995737; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995738; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995739; IN: 1, 1; expOUT: 0; netOUT: 0.000731843

PASS: 995740; IN: 1, 1; expOUT: 0; netOUT: 0.000731819

PASS: 995741; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995742; IN: 0, 0; expOUT: 0; netOUT: 0.000783139

PASS: 995743; IN: 0, 0; expOUT: 0; netOUT: 0.000783128

PASS: 995744; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995745; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995746; IN: 1, 1; expOUT: 0; netOUT: 0.000731826

PASS: 995747; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995748; IN: 1, 1; expOUT: 0; netOUT: 0.000731816

PASS: 995749; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995750; IN: 1, 1; expOUT: 0; netOUT: 0.000731805

PASS: 995751; IN: 1, 1; expOUT: 0; netOUT: 0.000731782

PASS: 995752; IN: 0, 0; expOUT: 0; netOUT: 0.000783128

PASS: 995753; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995754; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995755; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995756; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995757; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995758; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995759; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995760; IN: 0, 0; expOUT: 0; netOUT: 0.000783164

PASS: 995761; IN: 1, 1; expOUT: 0; netOUT: 0.00073184

PASS: 995762; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995763; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995764; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995765; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995766; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995767; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995768; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995769; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995770; IN: 1, 1; expOUT: 0; netOUT: 0.00073192

PASS: 995771; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995772; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995773; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995774; IN: 1, 0; expOUT: 1; netOUT: 0.99931

